transect_run_ID,run_ID,transect_ID,date,start_time_bird1,end_time_bird1,start_time_fish,end_time_fish,direction_fish,start_time_bird2,end_time_bird2,weather,waves,water_green,remarks,observers
pap_1_old_NA,NA,pap_1_old,5-Feb-2025,10:40,10:45,11:02,11:11,to coast,11:13,11:17,sunny,calm,no,,"Vera, Joyce, Bahebe"
pap_2_old_NA,NA,pap_2_old,5-Feb-2025,11:21,11:26,11:26,11:34,from coast,11:39,11:44,sunny,calm,no,,"Vera, Joyce, Bahebe"
tree_1_old_NA,NA,tree_1_old,5-Feb-2025,11:51,11:55,11:56,12:06,from coast,12:11,12:17,sunny,calm,no,,"Vera, Joyce, Bahebe"
tree_2_old_NA,NA,tree_2_old,5-Feb-2025,12:21,12:27,12:27,12:40,from coast,12:44,12:49,sunny,calm,no,,"Vera, Joyce, Bahebe"
tree_3_old_NA,NA,tree_3_old,5-Feb-2025,13:03,13:11,13:12,13:21,from coast,13:27,13:31,sunny,calm,no,,"Vera, Joyce, Bahebe"
tree_4_old_NA,NA,tree_4_old,5-Feb-2025,13:36,13:42,13:43,13:53,from coast,13:58,14:04,sunny,calm,no,,"Vera, Joyce, Bahebe"
pap_3_old_NA,NA,pap_3_old,5-Feb-2025,14:14,14:19,14:19,14:29,from coast,14:39,14:43,sunny,many waves,no,,"Vera, Joyce, Bahebe"
pap_4_old_NA,NA,pap_4_old,5-Feb-2025,14:51,14:56,14:56,15:06,from coast,15:11,15:19,sunny,many waves,no,,"Vera, Joyce, Bahebe"
tree_5_old_NA,NA,tree_5_old,5-Feb-2025,15:21,15:27,15:27,15:35,from coast,15:39,15:43,sunny,many waves,no,,"Vera, Joyce, Bahebe"
tree_5_NA,NA,tree_5,8-Feb-2025,10:49,10:56,11:22,11:32,to coast,11:33,11:38,sunny,calm,no,,"Vera, Joyce, Bahebe"
tree_6_NA,NA,tree_6,8-Feb-2025,11:40,11:44,11:55,12:04,to coast,12:06,12:10,sunny,calm,no,,"Vera, Joyce, Bahebe"
pap_5_NA,NA,pap_5,8-Feb-2025,12:21,12:26,12:28,12:39,from coast,12:44,12:48,sunny,calm,no,,"Vera, Joyce, Bahebe"
pap_6_NA,NA,pap_6,8-Feb-2025,12:51,12:54,12:56,13:06,from coast,13:11,13:15,half cloudy,calm,no,,"Vera, Joyce, Bahebe"
tree_7_NA,NA,tree_7,8-Feb-2025,13:26,13:34,13:44,13:52,to coast,13:54,14:00,half cloudy,little waves,no,,"Vera, Joyce, Bahebe"
tree_8_NA,NA,tree_8,8-Feb-2025,14:04,14:08,14:09,14:18,from coast,14:22,14:26,half cloudy ,little waves,no,,"Vera, Joyce, Bahebe"
pap_1_run_1,run_1,pap_1,12-Feb-2025,9:29,9:33,9:38,9:46,from coast,9:50,9:55,half cloudy,calm,no,,"Vera, Joyce, Amos"
pap_2_run_1,run_1,pap_2,12-Feb-2025,9:57,10:02,10:03,10:11,from coast,10:15,10:20,half cloudy,calm,no,,"Vera, Joyce, Amos"
tree_1_run_1,run_1,tree_1,12-Feb-2025,10:29,10:33,10:35,10:41,from coast,10:45,10:51,half cloudy,calm,no,,"Vera, Joyce, Amos"
tree_2_run_1,run_1,tree_2,12-Feb-2025,10:55,11:01,11:04,11:11,from coast,11:14,11:19,half cloudy,calm,no,,"Vera, Joyce, Amos"
tree_3_run_1,run_1,tree_3,12-Feb-2025,11:31,11:38,11:40,11:48,from coast,11:53,11:59,half cloudy,calm,no,,"Vera, Joyce, Amos"
