bird_ID,transect_ID,date,bird_species_ID,count,position,remarks
1,pap_1_old,5-Feb-2025,Slender-billed weaver,29,p,
2,pap_1_old,5-Feb-2025,Swamp flycatcher,3,p,
3,pap_1_old,5-Feb-2025,African jacana,1,f,
4,pap_1_old,5-Feb-2025,Sand martin,50,f,flock
5,pap_1_old,5-Feb-2025,Pied kingfisher,7,p,
6,pap_1_old,5-Feb-2025,Village weaver,2,p,
7,pap_1_old,5-Feb-2025,Malachite kingfisher,1,p,
8,pap_1_old,5-Feb-2025,Pied kingfisher,2,f,
9,pap_1_old,5-Feb-2025,Lesser masked weaver,1,p,
10,pap_2_old,5-Feb-2025,Pied kingfisher,18,p,
11,pap_2_old,5-Feb-2025,Little egret,2,p,
12,pap_2_old,5-Feb-2025,Speckled mouse bird,1,p,
13,pap_2_old,5-Feb-2025,Slender-billed weaver,27,p,
14,pap_2_old,5-Feb-2025,Swamp flycatcher,10,p,
15,pap_2_old,5-Feb-2025,Sand martin,15,p,
16,pap_2_old,5-Feb-2025,Pied kingfisher,3,f,
17,pap_2_old,5-Feb-2025,Village weaver,1,p,
18,pap_2_old,5-Feb-2025,Black-headed gonolek,2,p,
19,pap_2_old,5-Feb-2025,Zitting cisticola,2,p,
20,tree_1_old,5-Feb-2025,Sand martin,5,f,
21,tree_1_old,5-Feb-2025,Pied kingfisher,28,t,
22,tree_1_old,5-Feb-2025,Swamp flycatcher,8,t,
23,tree_1_old,5-Feb-2025,Long-tailed cormorant,1,t,
24,tree_1_old,5-Feb-2025,Slender-billed weaver,17,t,
25,tree_1_old,5-Feb-2025,Sand martin,10,t,
26,tree_1_old,5-Feb-2025,Red-chested sunbird,5,t,
27,tree_1_old,5-Feb-2025,Long-tailed cormorant,2,w,
28,tree_1_old,5-Feb-2025,Long-tailed cormorant,2,f,
29,tree_1_old,5-Feb-2025,Pied kingfisher,1,f,
30,tree_1_old,5-Feb-2025,Swamp flycatcher,1,f,
31,tree_2_old,5-Feb-2025,Pied kingfisher,8,t,
32,tree_2_old,5-Feb-2025,Swamp flycatcher,7,t,
33,tree_2_old,5-Feb-2025,Pied kingfisher,2,f,
34,tree_2_old,5-Feb-2025,Red-chested sunbird,3,t,
35,tree_2_old,5-Feb-2025,White-throated bee-eater,10,t,
36,tree_2_old,5-Feb-2025,Slender-billed weaver,14,t,
37,tree_2_old,5-Feb-2025,White-winged tern,2,f,
38,tree_2_old,5-Feb-2025,Long-tailed cormorant,3,f,
39,tree_2_old,5-Feb-2025,Hadada ibis,1,f,
40,tree_2_old,5-Feb-2025,Swamp flycatcher,1,f,
41,tree_2_old,5-Feb-2025,Long-tailed cormorant,2,t,
42,tree_2_old,5-Feb-2025,Long-tailed cormorant,1,w,
43,tree_2_old,5-Feb-2025,Slender-billed weaver,1,f,
44,tree_2_old,5-Feb-2025,Common bullbul,1,t,
45,tree_2_old,5-Feb-2025,Common bullbul,2,f,
46,tree_2_old,5-Feb-2025,Golden-backed weaver,1,t,
47,tree_3_old,5-Feb-2025,Pied kingfisher,12,t,
48,tree_3_old,5-Feb-2025,Pied kingfisher,4,f,
49,tree_3_old,5-Feb-2025,Slender-billed weaver,17,t,
50,tree_3_old,5-Feb-2025,Swamp flycatcher,16,t,
51,tree_3_old,5-Feb-2025,Long-tailed cormorant,3,f,
52,tree_3_old,5-Feb-2025,Hadada ibis,2,t,
53,tree_3_old,5-Feb-2025,Red-chested sunbird,1,f,
54,tree_3_old,5-Feb-2025,Red-chested sunbird,3,t,
55,tree_3_old,5-Feb-2025,Long-tailed cormorant,2,t,
56,tree_3_old,5-Feb-2025,Slender-billed weaver,1,f,
57,tree_3_old,5-Feb-2025,Red-eyed dove,2,t,
58,tree_3_old,5-Feb-2025,Malachite kingfisher,1,t,
59,tree_3_old,5-Feb-2025,Common bullbul,2,t,
60,tree_4_old,5-Feb-2025,Pied kingfisher,31,t,
61,tree_4_old,5-Feb-2025,Pied kingfisher,2,f,
62,tree_4_old,5-Feb-2025,Slender-billed weaver,10,t,
63,tree_4_old,5-Feb-2025,Swamp flycatcher,7,t,
64,tree_4_old,5-Feb-2025,Hadada ibis,1,t,
65,tree_4_old,5-Feb-2025,Red-chested sunbird,2,f,
66,tree_4_old,5-Feb-2025,Red-chested sunbird,7,t,
67,tree_4_old,5-Feb-2025,Long-tailed cormorant,1,f,
68,pap_3_old,5-Feb-2025,Pied kingfisher,17,p,
69,pap_3_old,5-Feb-2025,Slender-billed weaver,2,p,
70,pap_3_old,5-Feb-2025,Swamp flycatcher,3,p,
71,pap_3_old,5-Feb-2025,Long-tailed cormorant,1,f,
72,pap_3_old,5-Feb-2025,Little egret,2,f,
73,pap_3_old,5-Feb-2025,Pied kingfisher,2,f,
74,pap_3_old,5-Feb-2025,Black kite,3,f,
75,pap_4_old,5-Feb-2025,Pied kingfisher,13,p,
76,pap_4_old,5-Feb-2025,Slender-billed weaver,5,p,
77,pap_4_old,5-Feb-2025,Swamp flycatcher,1,p,
78,pap_4_old,5-Feb-2025,Pied kingfisher,1,f,
79,pap_4_old,5-Feb-2025,Little egret,1,f,
80,pap_4_old,5-Feb-2025,Zitting cisticola,1,p,
81,tree_5_old,5-Feb-2025,Pied kingfisher,36,t,
82,tree_5_old,5-Feb-2025,Slender-billed weaver,9,t,
83,tree_5_old,5-Feb-2025,Pied kingfisher,3,f,
84,tree_5_old,5-Feb-2025,Red-eyed dove,1,t,
85,tree_5_old,5-Feb-2025,Red-chested sunbird,1,t,
86,tree_5_old,5-Feb-2025,Common bullbul,2,t,
87,tree_5_old,5-Feb-2025,White-throated bee-eater,1,t,
88,tree_5,8-Feb-2025,Pied kingfisher,50,t,
89,tree_5,8-Feb-2025,Slender-billed weaver,20,t,
90,tree_5,8-Feb-2025,Black kite,3,t,
91,tree_5,8-Feb-2025,Red-chested sunbird,6,t,
92,tree_5,8-Feb-2025,Hadada ibis,1,t,
93,tree_5,8-Feb-2025,Little egret,2,t,
94,tree_5,8-Feb-2025,Swamp flycatcher,3,t,
95,tree_5,8-Feb-2025,Zitting cisticola,2,t,
96,tree_5,8-Feb-2025,Sand martin,1,f,
97,tree_5,8-Feb-2025,Pied kingfisher,1,f,
98,tree_5,8-Feb-2025,Red-eyed dove,1,t,
