fid,Transect,HubName,HubDist
"61",PAP4,Robana,672.930659761161
"62",PAP1,Mbalageti,410.40671024105
"67",PAP3,Robana,744.321795865781
"68",TREE5,Robana,1685.31771595736
"69",TREE6,Robana,2123.94454397531
"70",PAP5,Robana,3928.73023325678
"71",TREE8,Robana,7325.03258867629
"72",TREE7,Robana,6514.08089937275
"73",PAP2,Mbalageti,1076.46559506734
"74",PAP6,Robana,4656.00043415872
"77",TREE1,Mbalageti,2888.18314955067
"80",TREE3,Robana,3545.79307749361
"88",TREE4,Robana,2580.59220578636
"90",TREE2,Mbalageti,3911.93730125432
