"transect_run_ID","transect_ID","river","habitat_detailed","habitat_detailed2","distance_to_river_mouth","habitat_main","date","chemical_water_quality_PC1","visible_water_quality_PC2"
"pap_1_run_1","pap_1","Mbalageti","Papyrus Mbalageti Mouth","Mbalageti Mouth","Close","Papyrus",2025-02-12,-0.459147778998704,-0.863016798896902
"pap_1_run_2","pap_1","Mbalageti","Papyrus Mbalageti Mouth","Mbalageti Mouth","Close","Papyrus",2025-02-19,1.47358814872626,0.382053401329941
"pap_1_run_3","pap_1","Mbalageti","Papyrus Mbalageti Mouth","Mbalageti Mouth","Close","Papyrus",2025-03-10,-1.22396925780713,-2.01542986921928
"pap_1_run_4","pap_1","Mbalageti","Papyrus Mbalageti Mouth","Mbalageti Mouth","Close","Papyrus",2025-03-14,0.335912863521734,-1.91307882751243
"pap_1_run_5","pap_1","Mbalageti","Papyrus Mbalageti Mouth","Mbalageti Mouth","Close","Papyrus",2025-04-09,-0.599048686951734,-2.21233237969119
"pap_1_run_6","pap_1","Mbalageti","Papyrus Mbalageti Mouth","Mbalageti Mouth","Close","Papyrus",2025-04-17,-1.28237105671051,-0.488329170631485
"pap_2_run_1","pap_2","Mbalageti","Papyrus Mbalageti Mouth","Mbalageti Mouth","Close","Papyrus",2025-02-12,0.419300359425165,-0.476138914747727
"pap_2_run_2","pap_2","Mbalageti","Papyrus Mbalageti Mouth","Mbalageti Mouth","Close","Papyrus",2025-02-19,3.30455901338715,0.685891988296197
"pap_2_run_3","pap_2","Mbalageti","Papyrus Mbalageti Mouth","Mbalageti Mouth","Close","Papyrus",2025-03-10,-0.556843303216678,-2.08283777684929
"pap_2_run_4","pap_2","Mbalageti","Papyrus Mbalageti Mouth","Mbalageti Mouth","Close","Papyrus",2025-03-14,0.0672281586680577,-1.7918864475612
"pap_2_run_5","pap_2","Mbalageti","Papyrus Mbalageti Mouth","Mbalageti Mouth","Close","Papyrus",2025-04-09,-0.773480563010658,-2.19381649661158
"pap_2_run_6","pap_2","Mbalageti","Papyrus Mbalageti Mouth","Mbalageti Mouth","Close","Papyrus",2025-04-17,-1.31049383381539,-1.14957161891383
"pap_3_run_1","pap_3","Robana","Papyrus Robana Mouth","Robana Mouth","Close","Papyrus",2025-02-12,1.12205999064613,-0.0894959366486714
"pap_3_run_2","pap_3","Robana","Papyrus Robana Mouth","Robana Mouth","Close","Papyrus",2025-02-20,1.49186510041616,-0.352744741999705
"pap_3_run_3","pap_3","Robana","Papyrus Robana Mouth","Robana Mouth","Close","Papyrus",2025-03-09,-1.27757066289383,0.134065620213573
"pap_3_run_4","pap_3","Robana","Papyrus Robana Mouth","Robana Mouth","Close","Papyrus",2025-03-14,3.10606614472614,0.95087916809154
"pap_3_run_5","pap_3","Robana","Papyrus Robana Mouth","Robana Mouth","Close","Papyrus",2025-04-09,-2.0467266714152,1.5927456393453
"pap_3_run_6","pap_3","Robana","Papyrus Robana Mouth","Robana Mouth","Close","Papyrus",2025-04-16,0.737617495955842,-0.37493436301926
"pap_4_run_1","pap_4","Robana","Papyrus Robana Mouth","Robana Mouth","Close","Papyrus",2025-02-13,-0.560331589508318,0.52889967208334
"pap_4_run_2","pap_4","Robana","Papyrus Robana Mouth","Robana Mouth","Close","Papyrus",2025-02-20,2.76510853840419,0.598544579050414
"pap_4_run_3","pap_4","Robana","Papyrus Robana Mouth","Robana Mouth","Close","Papyrus",2025-03-09,-0.581346132558873,0.380817426245115
"pap_4_run_4","pap_4","Robana","Papyrus Robana Mouth","Robana Mouth","Close","Papyrus",2025-03-14,3.26234827169593,2.77713473705711
"pap_4_run_5","pap_4","Robana","Papyrus Robana Mouth","Robana Mouth","Close","Papyrus",2025-04-10,-3.41152709267457,3.51193049069813
"pap_4_run_6","pap_4","Robana","Papyrus Robana Mouth","Robana Mouth","Close","Papyrus",2025-04-16,1.07572677996177,0.121855869506932
"pap_5_run_1","pap_5","Robana","Papyrus Robana Mid","Robana Mid","Mid","Papyrus",2025-02-13,-2.39562943540523,2.01638024835743
"pap_5_run_2","pap_5","Robana","Papyrus Robana Mid","Robana Mid","Mid","Papyrus",2025-02-20,3.12759816652369,1.73370240465179
"pap_5_run_3","pap_5","Robana","Papyrus Robana Mid","Robana Mid","Mid","Papyrus",2025-03-09,-2.08821140107138,-0.262702903143695
