"transect_ID","river","habitat_detailed","habitat_detailed_2","distance_to_river_mouth","habitat_main","bird_species_ID","date","total_count"
"pap_1","Mbalageti","Papyrus Mbalageti Mouth","Mbalageti Mouth","Mouth","Papyrus","Pied kingfisher",2025-02-12,35
"pap_1","Mbalageti","Papyrus Mbalageti Mouth","Mbalageti Mouth","Mouth","Papyrus","Pied kingfisher",2025-02-19,19
"pap_1","Mbalageti","Papyrus Mbalageti Mouth","Mbalageti Mouth","Mouth","Papyrus","Pied kingfisher",2025-03-10,18
"pap_1","Mbalageti","Papyrus Mbalageti Mouth","Mbalageti Mouth","Mouth","Papyrus","Pied kingfisher",2025-03-14,17
"pap_1","Mbalageti","Papyrus Mbalageti Mouth","Mbalageti Mouth","Mouth","Papyrus","Pied kingfisher",2025-04-09,17
"pap_1","Mbalageti","Papyrus Mbalageti Mouth","Mbalageti Mouth","Mouth","Papyrus","Pied kingfisher",2025-04-17,15
"pap_2","Mbalageti","Papyrus Mbalageti Mouth","Mbalageti Mouth","Mouth","Papyrus","Pied kingfisher",2025-02-12,12
"pap_2","Mbalageti","Papyrus Mbalageti Mouth","Mbalageti Mouth","Mouth","Papyrus","Pied kingfisher",2025-02-19,12
"pap_2","Mbalageti","Papyrus Mbalageti Mouth","Mbalageti Mouth","Mouth","Papyrus","Pied kingfisher",2025-03-10,11
"pap_2","Mbalageti","Papyrus Mbalageti Mouth","Mbalageti Mouth","Mouth","Papyrus","Pied kingfisher",2025-03-14,17
"pap_2","Mbalageti","Papyrus Mbalageti Mouth","Mbalageti Mouth","Mouth","Papyrus","Pied kingfisher",2025-04-09,17
"pap_2","Mbalageti","Papyrus Mbalageti Mouth","Mbalageti Mouth","Mouth","Papyrus","Pied kingfisher",2025-04-17,8
"pap_3","Robana","Papyrus Robana Mouth","Robana Mouth","Mouth","Papyrus","Pied kingfisher",2025-02-12,8
"pap_3","Robana","Papyrus Robana Mouth","Robana Mouth","Mouth","Papyrus","Pied kingfisher",2025-02-20,17
"pap_3","Robana","Papyrus Robana Mouth","Robana Mouth","Mouth","Papyrus","Pied kingfisher",2025-03-09,10
"pap_3","Robana","Papyrus Robana Mouth","Robana Mouth","Mouth","Papyrus","Pied kingfisher",2025-03-14,5
"pap_3","Robana","Papyrus Robana Mouth","Robana Mouth","Mouth","Papyrus","Pied kingfisher",2025-04-09,27
"pap_3","Robana","Papyrus Robana Mouth","Robana Mouth","Mouth","Papyrus","Pied kingfisher",2025-04-16,28
"pap_4","Robana","Papyrus Robana Mouth","Robana Mouth","Mouth","Papyrus","Pied kingfisher",2025-02-12,5
"pap_4","Robana","Papyrus Robana Mouth","Robana Mouth","Mouth","Papyrus","Pied kingfisher",2025-02-13,7
"pap_4","Robana","Papyrus Robana Mouth","Robana Mouth","Mouth","Papyrus","Pied kingfisher",2025-02-20,15
"pap_4","Robana","Papyrus Robana Mouth","Robana Mouth","Mouth","Papyrus","Pied kingfisher",2025-03-09,16
"pap_4","Robana","Papyrus Robana Mouth","Robana Mouth","Mouth","Papyrus","Pied kingfisher",2025-03-14,8
"pap_4","Robana","Papyrus Robana Mouth","Robana Mouth","Mouth","Papyrus","Pied kingfisher",2025-04-10,12
"pap_4","Robana","Papyrus Robana Mouth","Robana Mouth","Mouth","Papyrus","Pied kingfisher",2025-04-16,14
"pap_5","Robana","Papyrus Robana Far","Robana Far","Far","Papyrus","Pied kingfisher",2025-02-13,39
"pap_5","Robana","Papyrus Robana Far","Robana Far","Far","Papyrus","Pied kingfisher",2025-02-20,83
"pap_5","Robana","Papyrus Robana Far","Robana Far","Far","Papyrus","Pied kingfisher",2025-03-09,34
"pap_5","Robana","Papyrus Robana Far","Robana Far","Far","Papyrus","Pied kingfisher",2025-03-14,36
"pap_5","Robana","Papyrus Robana Far","Robana Far","Far","Papyrus","Pied kingfisher",2025-03-15,29
"pap_5","Robana","Papyrus Robana Far","Robana Far","Far","Papyrus","Pied kingfisher",2025-04-10,16
"pap_5","Robana","Papyrus Robana Far","Robana Far","Far","Papyrus","Pied kingfisher",2025-04-16,25
"pap_6","Robana","Papyrus Robana Far","Robana Far","Far","Papyrus","Pied kingfisher",2025-02-13,30
"pap_6","Robana","Papyrus Robana Far","Robana Far","Far","Papyrus","Pied kingfisher",2025-02-20,77
"pap_6","Robana","Papyrus Robana Far","Robana Far","Far","Papyrus","Pied kingfisher",2025-02-21,41
"pap_6","Robana","Papyrus Robana Far","Robana Far","Far","Papyrus","Pied kingfisher",2025-03-09,19
"pap_6","Robana","Papyrus Robana Far","Robana Far","Far","Papyrus","Pied kingfisher",2025-03-15,33
"pap_6","Robana","Papyrus Robana Far","Robana Far","Far","Papyrus","Pied kingfisher",2025-04-10,28
