"transect_ID","observed_count_500m","satelite_count_500m","satelite_count_750m_left","satelite_count_750m_right","satelite_count_total_2km","total_count_2km_observed500m_satelite750m","kalibratie_500m","kalibratie_sat_links","kalibratie_sat_rechts","total_count_gekalibreerd","calibration_factor","compensation_factor"
"tree_8",32,25,24,9,58,65,1.28,30.72,11.52,74.24,0.4310344828,1.7241379312
"tree_7",28,16,13,5,34,46,1.75,22.75,8.75,59.5,0.4705882353,1.8823529412
"pap_6",3,1,0,1,2,4,3,0,3,6,0.5,2
"pap_5",1,1,1,0,2,2,1,1,0,2,0.5,2
"tree_6",6,5,4,25,34,35,1.2,4.8,30,40.8,0.1470588235,0.588235294
"tree_5",28,19,14,1,34,43,1.473684211,20.63157895,1.473684211,50.10526316,0.5588235294,2.2352941176
"pap_4",0,0,0,0,0,0,0,0,0,0,0,0
"pap_3",3,1,0,17,18,20,3,0,51,54,0.05555555556,0.22222222224
"tree_4",36,27,12,25,64,73,1.333333333,16,33.33333333,85.33333333,0.421875,1.6875
"tree_3",50,35,20,31,86,101,1.428571429,28.57142857,44.28571429,122.8571429,0.4069767442,1.6279069768
"tree_2",27,17,9,22,48,58,1.588235294,14.29411765,34.94117647,76.23529412,0.3541666667,1.4166666668
"tree_1",40,20,26,6,52,72,2,52,12,104,0.3846153846,1.5384615384
"pap_2",4,1,2,2,5,8,4,8,8,20,0.2,0.8
"pap_1",3,2,1,4,7,8,1.5,1.5,6,10.5,0.2857142857,1.1428571428
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"counted with global monthly May, scale 1:10963",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
